model_id,cuenca,proyecto,proyect_id,estado,anio,url,resumen
7,Arapey Grande,Proyecto Innovagro,1,Activo,2025,https://www.anii.org.uy/proyectos/FSA_1_2024_1_180493/modelacion-integrada-ambienteeconomía-para-el-manejo-y-gestion-sostenible-del-agua-y-del-riego-en-sistemas-de-produccion-con-rotaciones-cultivopasturaarroz-en-el-norte-del-pais-frente-a-un-clima-que-cambia/,Modelación integrada ambiente-economía para manejo de agua y riego en sistemas arroz-pastura.
6,Cebollatí,Proyecto FPTA,2,Planificado,2026,,SURE-HIDRO: Sostenibilidad en el Uso de los Recursos hídricos y Evaluación de impactos del manejo agropecuario y forestal en cuencas del Uruguay
6,Cebollatí,Proyecto Innovagro,4,Planificado,2026,,Caudales ambientales y valoración monetaria del agua
2,San Salvador,Proyecto Innovagro,4,Planificado,2026,,Caudales ambientales y valoración monetaria del agua
7,Arapey Grande,Proyecto Innovagro,4,Planificado,2026,,Caudales ambientales y valoración monetaria del agua
15,Santa Lucía,Ministerio de Ambiente - IMFIA,3,Activo,2026,,Impacto ambiental desarrollo de nueva fuente de agua potable
9,Borracho,Proyecto FPTA,2,Planificado,2026,,SURE-HIDRO: Sostenibilidad en el Uso de los Recursos hídricos y Evaluación de impactos del manejo agropecuario y forestal en cuencas del Uruguay
2,San Salvador,Proyecto FPTA,2,Planificado,2026,,SURE-HIDRO: Sostenibilidad en el Uso de los Recursos hídricos y Evaluación de impactos del manejo agropecuario y forestal en cuencas del Uruguay
9,Borracho,Proyecto FPTA,5,Activo,2026,https://www.inia.uy/index.php/proyectos/etrforestaluy,ETRforestalUy. El propósito es informar las políticas para el manejo sostenible del agua en la producción forestal a nivel de cuencas.
3,Microcuencas,Proyecto FPTA,5,Activo,2026,https://www.inia.uy/index.php/proyectos/etrforestaluy,ETRforestalUy. El propósito es informar las políticas para el manejo sostenible del agua en la producción forestal a nivel de cuencas.
